v8-version,5,8,283,41,0
code-creation,Stub,3,0xf847cb409a0,2284,"RecordWriteStub"
code-creation,Stub,16,0xf847cb412a0,216,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb41380,2250,"RecordWriteStub"
code-creation,Stub,16,0xf847cb41c60,407,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb41e00,2254,"RecordWriteStub"
code-creation,Stub,16,0xf847cb426e0,395,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb42880,208,"BinaryOpICStub"
code-creation,Handler,4,0xf847cb42960,744,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb42c60,978,"RecordWriteStub"
code-creation,Stub,16,0xf847cb43040,280,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb43160,1412,"RecordWriteStub"
code-creation,Stub,16,0xf847cb43700,196,"BinaryOpICStub"
code-creation,Stub,17,0xf847cb437e0,157,"CompareICStub"
code-creation,Stub,3,0xf847cb43880,2291,"RecordWriteStub"
code-creation,Stub,16,0xf847cb44180,268,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb442a0,2250,"RecordWriteStub"
code-creation,Stub,16,0xf847cb44b80,423,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb44d40,208,"BinaryOpICStub"
tick,0x7f5e4a94a3ad,2487,0,(nil),4
code-creation,Stub,3,0xf847cb44e20,2269,"RecordWriteStub"
code-creation,Stub,3,0xf847cb45700,590,"SubtractWithFeedbackStub"
code-creation,Builtin,5,0xf847cb45960,584,"Subtract"
code-creation,Builtin,5,0xf847cb45bc0,365,"NonNumberToNumber"
code-creation,Builtin,5,0xf847cb45d40,298,"NonPrimitiveToPrimitive_Number"
code-creation,Stub,3,0xf847cb45e80,455,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0xf847cb46060,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0xf847cb461a0,2238,"RecordWriteStub"
code-creation,Stub,3,0xf847cb46a60,124,"CallICTrampolineStub"
code-creation,Stub,3,0xf847cb46ae0,1416,"RecordWriteStub"
code-creation,Stub,3,0xf847cb47080,2245,"RecordWriteStub"
code-creation,Stub,16,0xf847cb47960,391,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb47b00,423,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb47cc0,141,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb47d60,2245,"RecordWriteStub"
code-creation,Stub,3,0xf847cb48640,2250,"RecordWriteStub"
code-creation,Stub,3,0xf847cb48f20,2291,"RecordWriteStub"
code-creation,Stub,16,0xf847cb49820,423,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb499e0,1412,"RecordWriteStub"
code-creation,Stub,16,0xf847cb49f80,240,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb4a080,1002,"RecordWriteStub"
code-creation,Stub,3,0xf847cb4a480,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,16,0xf847cb4a5c0,141,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb4a660,729,"AddWithFeedbackStub"
code-creation,Builtin,5,0xf847cb4a940,1132,"Add"
code-creation,Stub,3,0xf847cb4adc0,637,"StringAddStub"
code-creation,Stub,3,0xf847cb4b040,2266,"RecordWriteStub"
code-creation,Stub,16,0xf847cb4b920,451,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb4bb00,196,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb4bbe0,2265,"RecordWriteStub"
code-creation,Stub,3,0xf847cb4c4c0,3153,"SubStringStub"
code-creation,Handler,4,0xf847cb4d120,308,"An IC handler from the snapshot"
code-creation,Stub,16,0xf847cb4d260,423,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb4d420,423,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb4d5e0,1386,"RecordWriteStub"
code-creation,Stub,3,0xf847cb4db60,2241,"RecordWriteStub"
code-creation,Stub,16,0xf847cb4e440,196,"BinaryOpICStub"
code-creation,Stub,17,0xf847cb4e520,157,"CompareICStub"
code-creation,Stub,3,0xf847cb4e5c0,2250,"RecordWriteStub"
code-creation,Stub,16,0xf847cb4eea0,232,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb4efa0,2253,"RecordWriteStub"
code-creation,Stub,16,0xf847cb4f880,407,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb4fa20,208,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb4fb00,216,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb4fbe0,2270,"RecordWriteStub"
code-creation,Stub,16,0xf847cb504c0,141,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb50560,280,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb50680,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb50f60,427,"CallApiGetterStub"
code-creation,Stub,3,0xf847cb51120,2307,"RecordWriteStub"
code-creation,Stub,16,0xf847cb51a40,141,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb51ae0,276,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb51c00,276,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb51d20,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0xf847cb51da0,2238,"RecordWriteStub"
code-creation,Handler,4,0xf847cb52660,296,"An IC handler from the snapshot"
code-creation,Stub,3,0xf847cb527a0,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb53080,2250,"RecordWriteStub"
code-creation,Stub,3,0xf847cb53960,2257,"RecordWriteStub"
code-creation,Stub,3,0xf847cb54240,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0xf847cb54320,2254,"RecordWriteStub"
code-creation,Stub,3,0xf847cb54c00,2283,"RecordWriteStub"
code-creation,Stub,16,0xf847cb55500,216,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb555e0,423,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb557a0,2238,"RecordWriteStub"
code-creation,Stub,16,0xf847cb56060,240,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb56160,435,"CallConstructStub"
code-creation,Builtin,5,0xf847cb56320,168,"Construct"
code-creation,Builtin,5,0xf847cb563e0,114,"ConstructFunction"
code-creation,Builtin,5,0xf847cb56460,249,"ConstructBoundFunction"
code-creation,Builtin,5,0xf847cb56560,121,"ConstructProxy"
code-creation,Stub,18,0xf847cb565e0,188,"ToBooleanICStub"
code-creation,Stub,3,0xf847cb566a0,976,"RecordWriteStub"
code-creation,Stub,16,0xf847cb56a80,268,"BinaryOpICStub"
code-creation,Stub,16,0xf847cb56ba0,427,"BinaryOpICStub"
code-creation,Stub,3,0xf847cb56d60,2296,"RecordWriteStub"
code-creation,Builtin,5,0xf847cb57660,134,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,5,0xf847cb57700,124,"ReturnReceiver"
code-creation,Builtin,5,0xf847cb57780,300,"GeneratorPrototypeNext"
code-creation,Builtin,5,0xf847cb578c0,339,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,0xf847cb57a20,335,"CreateIterResultObject"
code-creation,Builtin,5,0xf847cb57b80,308,"GeneratorPrototypeReturn"
code-creation,Builtin,5,0xf847cb57cc0,320,"GeneratorPrototypeThrow"
code-creation,Builtin,5,0xf847cb57e00,12075,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,0xf847cb5ad40,200,"ToBoolean"
code-creation,Builtin,5,0xf847cb5ae20,464,"StringEqual"
code-creation,Builtin,5,0xf847cb5b000,12667,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,0xf847cb5e180,12183,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,0xf847cb61120,134,"Illegal"
code-creation,Builtin,5,0xf847cb611c0,134,"ObjectAssign"
code-creation,Builtin,5,0xf847cb61260,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,0xf847cb61300,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,0xf847cb613a0,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,0xf847cb61440,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,0xf847cb614e0,134,"ObjectIs"
code-creation,Builtin,5,0xf847cb61580,134,"ObjectPreventExtensions"
code-creation,Builtin,5,0xf847cb61620,134,"ObjectSeal"
code-creation,Builtin,5,0xf847cb616c0,888,"ObjectCreate"
code-creation,Builtin,5,0xf847cb61a40,134,"ObjectDefineProperties"
code-creation,Builtin,5,0xf847cb61ae0,134,"ObjectDefineProperty"
code-creation,Builtin,5,0xf847cb61b80,134,"ObjectFreeze"
